,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8579,1.047,17.0,favori,favori,0.48102416256934055,0.5189758374306594
8580,1.408,3.15,favori,favori,0.4089337209047078,0.5910662790952922
8581,2.31,1.68,favori,challenger,0.6031262859652669,0.39687371403473315
8582,3.75,1.3130000000000002,challenger,favori,0.3435674209232118,0.6564325790767882
8583,1.847,2.02,favori,favori,0.21310545224110566,0.7868945477588943
8584,1.204,5.0,favori,favori,0.2926777502243476,0.7073222497756524
8585,1.3769999999999998,3.3,favori,favori,0.24873947379936845,0.7512605262006316
8586,2.0,1.862,challenger,favori,0.4937716351662059,0.5062283648337941
8587,1.171,5.65,favori,favori,0.33240934185668314,0.6675906581433169
8588,1.178,5.46,favori,favori,0.3298383835521589,0.6701616164478411
8589,1.036,21.0,favori,favori,0.3813801104372314,0.6186198895627686
8590,1.121,7.25,favori,favori,0.3398399264250145,0.6601600735749855
8591,2.09,1.8,favori,challenger,0.5674040718422608,0.4325959281577391
8592,1.182,5.25,favori,favori,0.39669507017785477,0.6033049298221452
8593,1.4169999999999998,3.15,favori,favori,0.4473514072184872,0.5526485927815128
8594,1.211,4.95,favori,favori,0.17238227755843483,0.8276177224415652
8595,1.182,5.25,favori,challenger,0.5391028796430217,0.4608971203569782
8596,1.063,13.0,favori,favori,0.37634754805845716,0.6236524519415428
8597,1.067,12.5,favori,favori,0.19600750870380645,0.8039924912961935
8598,1.735,2.2,challenger,favori,0.293410748621308,0.706589251378692
8599,1.395,3.23,favori,favori,0.1331588952990269,0.8668411047009731
8600,2.3,1.685,challenger,favori,0.4309422488010125,0.5690577511989875
8601,1.909,1.943,challenger,favori,0.47179050570110537,0.5282094942988946
8602,1.194,5.2,favori,favori,0.23547425194386806,0.7645257480561319
8603,1.69,2.3,favori,favori,0.47228792870656167,0.5277120712934383
8604,1.143,6.51,favori,favori,0.2704225659972834,0.7295774340027166
8605,1.3030000000000002,3.8,favori,favori,0.2433306847013611,0.7566693152986389
8606,1.183,5.35,favori,favori,0.1566027081786192,0.8433972918213808
8607,1.602,2.5,favori,favori,0.2454536450454634,0.7545463549545366
8608,3.6,1.3230000000000002,challenger,challenger,0.5876171937198233,0.41238280628017665
8609,2.93,1.459,favori,challenger,0.5589775896021714,0.4410224103978287
8610,1.286,4.0,favori,challenger,0.5622260814927136,0.43777391850728636
8611,1.213,4.95,favori,favori,0.12873442514674582,0.8712655748532542
8612,1.408,3.2,challenger,challenger,0.537208983252571,0.46279101674742895
8613,1.469,2.88,challenger,favori,0.2873401445409902,0.7126598554590098
8614,1.1909999999999998,5.48,favori,favori,0.41221665542478747,0.5877833445752125
8615,1.662,2.35,challenger,favori,0.31567701191615016,0.6843229880838498
8616,1.057,15.0,favori,favori,0.42802695363738674,0.5719730463626133
8617,1.163,5.9,favori,favori,0.09246967108286819,0.9075303289171318
8618,1.274,4.2,favori,favori,0.214355531394969,0.785644468605031
8619,1.581,2.56,favori,favori,0.14532635976289987,0.8546736402371001
8620,2.24,1.725,challenger,favori,0.25097205258136346,0.7490279474186365
8621,1.103,8.75,favori,favori,0.23702128380300524,0.7629787161969948
8622,1.206,5.15,challenger,favori,0.15155077048469312,0.8484492295153069
8623,1.61,2.49,favori,favori,0.4974298186416065,0.5025701813583935
8624,1.215,5.0,favori,favori,0.39401153500000974,0.6059884649999903
8625,1.308,3.85,favori,favori,0.39435398757351914,0.6056460124264809
8626,1.279,4.13,challenger,favori,0.4761181562976212,0.5238818437023788
8627,1.352,3.49,favori,favori,0.38362653498073507,0.6163734650192649
8628,1.6130000000000002,2.45,favori,favori,0.25521738952818385,0.7447826104718162
8629,1.392,3.35,challenger,favori,0.45737837323942043,0.5426216267605796
8630,1.2990000000000002,4.05,favori,challenger,0.6315026298560942,0.3684973701439058
8631,1.444,3.0,favori,favori,0.3627821914698366,0.6372178085301634
8632,1.741,2.19,challenger,favori,0.2126654258642363,0.7873345741357637
8633,1.483,2.87,favori,favori,0.332893881777817,0.667106118222183
8634,1.249,4.41,favori,favori,0.4100547648241968,0.5899452351758032
8635,1.862,2.0,favori,challenger,0.6492879582905215,0.3507120417094784
8636,1.571,2.55,challenger,favori,0.49911593993949366,0.5008840600605063
8638,1.4,3.2,challenger,favori,0.44657178968575073,0.5534282103142493
8639,1.4880000000000002,2.82,challenger,challenger,0.5750248014308003,0.42497519856919974
8640,1.222,4.85,favori,favori,0.3704067709667893,0.6295932290332107
8642,1.893,1.952,challenger,challenger,0.6892535421949317,0.3107464578050682
8643,1.82,2.06,challenger,favori,0.49894261175690025,0.5010573882430998
8645,1.685,2.3,challenger,favori,0.413840813191774,0.586159186808226
8649,1.167,5.75,favori,favori,0.20935257889463066,0.7906474211053693
8651,2.45,1.606,favori,favori,0.3925131064493257,0.6074868935506743
8653,2.13,1.7519999999999998,challenger,favori,0.2779735252717068,0.7220264747282932
8654,1.3330000000000002,3.55,favori,favori,0.4219672923221073,0.5780327076778927
8655,1.595,2.52,favori,favori,0.31985004478666723,0.6801499552133328
