,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
226,2.3,1.685,challenger,favori,0.32344584237003693,0.6765541576299631
227,5.75,1.167,favori,favori,0.18413998308276136,0.8158600169172386
228,1.606,2.45,favori,favori,0.492668008620863,0.507331991379137
229,1.7519999999999998,2.13,challenger,favori,0.4135049371620533,0.5864950628379467
230,3.55,1.3330000000000002,favori,favori,0.27516671932671033,0.7248332806732897
231,2.52,1.595,favori,favori,0.1944292943966346,0.8055707056033654
232,2.09,1.8,challenger,favori,0.47564793618530854,0.5243520638146915
233,1.465,2.87,challenger,challenger,0.5263847743946315,0.47361522560536845
234,2.32,1.676,favori,favori,0.36798817409850204,0.632011825901498
235,2.2,1.714,challenger,favori,0.4262690496608389,0.5737309503391611
236,1.595,2.5,challenger,challenger,0.5565905448204461,0.4434094551795539
237,2.32,1.676,favori,favori,0.49626980316275826,0.5037301968372417
238,2.9,1.444,favori,favori,0.21000941714824073,0.7899905828517593
239,2.39,1.645,favori,favori,0.4456404519705479,0.5543595480294521
240,2.47,1.6130000000000002,challenger,challenger,0.5558238434107841,0.4441761565892159
241,3.35,1.37,favori,favori,0.2860047975500911,0.7139952024499089
242,4.38,1.245,challenger,favori,0.25659523451483135,0.7434047654851687
243,5.25,1.202,favori,favori,0.23672362642962497,0.763276373570375
244,3.15,1.408,favori,favori,0.3709741824734898,0.6290258175265102
245,3.9,1.2990000000000002,favori,favori,0.4206527347441764,0.5793472652558236
246,2.09,1.8,challenger,favori,0.3187313106106554,0.6812686893893446
247,2.9,1.465,challenger,favori,0.33283079116403413,0.6671692088359659
248,4.45,1.253,favori,favori,0.3211434454681916,0.6788565545318084
249,1.444,2.95,challenger,challenger,0.7031609684719509,0.2968390315280491
250,14.5,1.057,favori,favori,0.11133521722607631,0.8886647827739237
251,7.5,1.121,favori,favori,0.194946032011581,0.805053967988419
252,4.6,1.225,favori,favori,0.14033902340259963,0.8596609765974004
253,3.2,1.4,favori,favori,0.160079562731836,0.839920437268164
254,2.8,1.4880000000000002,challenger,favori,0.48620180142697267,0.5137981985730273
255,2.29,1.69,challenger,challenger,0.6793033158829722,0.32069668411702773
256,1.5319999999999998,2.7,favori,challenger,0.6929952573028941,0.30700474269710587
257,2.55,1.571,challenger,favori,0.478265121171248,0.521734878828752
258,3.45,1.351,favori,favori,0.3669053284181988,0.6330946715818012
259,24.11,1.03,favori,favori,0.1253238624580607,0.8746761375419393
260,1.641,2.38,challenger,challenger,0.538217211049293,0.461782788950707
261,1.513,2.75,challenger,challenger,0.5147116505359866,0.4852883494640135
262,2.41,1.629,favori,favori,0.4373036071135392,0.5626963928864608
263,2.4,1.641,challenger,challenger,0.5058553015852236,0.49414469841477643
264,3.5,1.345,favori,favori,0.10522641279495737,0.8947735872050426
265,2.4,1.641,challenger,challenger,0.5152113947574086,0.4847886052425914
266,2.78,1.5,challenger,challenger,0.5717974204685664,0.4282025795314336
267,1.885,1.971,challenger,favori,0.4599889052261954,0.5400110947738046
268,2.03,1.84,challenger,favori,0.37709271372424247,0.6229072862757575
269,2.65,1.541,challenger,favori,0.26898878259078474,0.7310112174092153
270,2.89,1.457,challenger,favori,0.4386551091261085,0.5613448908738915
